cenario,tipo_choque,multiplicador_produtividade,perda_produtividade,choque_permanente,simulacao,seed,periodo,pib_real,taxa_desemprego,inflacao,deficit_governo,deficit_externo
benchmark,benchmark,1.0,0.0,False,1,42,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
benchmark,benchmark,1.0,0.0,False,1,42,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
benchmark,benchmark,1.0,0.0,False,1,42,2,7801103.962356615,0.13522744274108023,0.02418925667905869,0.12049839550176797,0.0062871968075281755
benchmark,benchmark,1.0,0.0,False,1,42,3,8022931.17537678,0.12581917429507655,0.026808879878366332,0.11284390543883532,0.005699729118197142
benchmark,benchmark,1.0,0.0,False,1,42,4,8394049.117589632,0.11075441073636484,0.029794467562436644,0.10562257887155795,0.0052840663367776635
benchmark,benchmark,1.0,0.0,False,1,42,5,8600862.808512889,0.09633131492055666,0.0434044141103036,0.09777343319611342,0.008313009411938122
benchmark,benchmark,1.0,0.0,False,1,42,6,8805546.863285447,0.09025336871852714,0.06175782241148764,0.0968150565562576,0.011799251873686082
benchmark,benchmark,1.0,0.0,False,1,42,7,8937305.299461177,0.09049401965082252,0.08397227890660575,0.10268619966589033,0.014052315269783362
benchmark,benchmark,1.0,0.0,False,1,42,8,9026819.935734155,0.09437889502922667,0.10292474178068733,0.1137165985894287,0.012934603294230254
benchmark,benchmark,1.0,0.0,False,1,42,9,8982186.214327602,0.10637726631354956,0.11619810768294014,0.12928063227993764,0.009426924098339312
benchmark,benchmark,1.0,0.0,False,1,42,10,8875795.840527793,0.12150342061014453,0.11491972016012153,0.15025016481844647,0.002554402337303946
benchmark,benchmark,1.0,0.0,False,1,42,11,8702161.917451346,0.13598845646059005,0.10448939257871404,0.16780485600403536,-0.007838345175273745
benchmark,benchmark,1.0,0.0,False,1,42,12,8605329.705796408,0.14064555918832708,0.08292184496035371,0.1789666738753089,-0.022750977021973075
benchmark,benchmark,1.0,0.0,False,1,42,13,8763751.655996973,0.1342472759566382,0.06324750835494597,0.1730952650450367,-0.03162248614265874
benchmark,benchmark,1.0,0.0,False,1,42,14,9073816.480949381,0.11719862757445872,0.04466975446072352,0.16108017776536387,-0.03433356342155109
benchmark,benchmark,1.0,0.0,False,1,42,15,9767739.351455217,0.08750247007268953,0.03906309172569555,0.1376022138713063,-0.023880932865198948
benchmark,benchmark,1.0,0.0,False,1,42,16,10225316.070023559,0.06336196021821773,0.053169487483705424,0.12023807380819963,-0.017683340427098418
benchmark,benchmark,1.0,0.0,False,1,42,17,10586047.710683277,0.05369337349025676,0.09307572367948347,0.1113828969635501,-0.006329575526634499
benchmark,benchmark,1.0,0.0,False,1,42,18,10872072.124031637,0.05702097570007454,0.14698346391158768,0.11754604957641306,0.00482037068148622
benchmark,benchmark,1.0,0.0,False,1,42,19,11172195.00037144,0.06420719597819649,0.19478368086175424,0.13493857834065628,0.013533607966461135
benchmark,benchmark,1.0,0.0,False,1,42,20,11201309.669151967,0.06772905028444465,0.22316281924196257,0.15242338807835962,0.013304394082466276
benchmark,benchmark,1.0,0.0,False,1,42,21,11190364.440531325,0.07359282336259756,0.23690473307537974,0.1630878349662149,0.010271717153190108
benchmark,benchmark,1.0,0.0,False,1,42,22,10987424.406967456,0.08710977322935891,0.23087013942826728,0.18287783302035632,-0.004738318952332682
benchmark,benchmark,1.0,0.0,False,1,42,23,10783951.558184605,0.0959408507821949,0.20992234324392678,0.20150569200375798,-0.022740228476492135
benchmark,benchmark,1.0,0.0,False,1,42,24,10692524.494708534,0.09975964723450689,0.17814123917477898,0.20702220846159045,-0.036408339235340405
benchmark,benchmark,1.0,0.0,False,1,42,25,10796002.242249193,0.0875385315965775,0.14734603175453787,0.20250986660619705,-0.049490542862813285
benchmark,benchmark,1.0,0.0,False,2,43,0,7609597.0,0.138,0.03,0.12063832026847152,0.010583740505574736
benchmark,benchmark,1.0,0.0,False,2,43,1,7652724.38733265,0.14039181650999813,0.030000000000000027,0.11859183719691781,0.007984885903803248
benchmark,benchmark,1.0,0.0,False,2,43,2,7795020.874483838,0.13522708141572493,0.024191530163762076,0.12053436588815551,0.006861983543173556
benchmark,benchmark,1.0,0.0,False,2,43,3,8037316.46680246,0.12476063426065676,0.026811775187928433,0.11260565842351052,0.00624820585705405
benchmark,benchmark,1.0,0.0,False,2,43,4,8348844.63122399,0.11108254305111744,0.030217521397929215,0.10567504655299073,0.007147843342347539
benchmark,benchmark,1.0,0.0,False,2,43,5,8587375.876903674,0.0985623921570945,0.043660273848172615,0.09909317882515398,0.00903596350924312
benchmark,benchmark,1.0,0.0,False,2,43,6,8800352.651764467,0.08863070021264373,0.06137623585113583,0.09685493266281833,0.009883061898685142
benchmark,benchmark,1.0,0.0,False,2,43,7,8996143.893453674,0.08664965439533324,0.0852880451285849,0.09873401758620069,0.013667358968836018
benchmark,benchmark,1.0,0.0,False,2,43,8,9048370.157807399,0.09427326955341966,0.10614460823049732,0.1115785160203094,0.016576521475690144
benchmark,benchmark,1.0,0.0,False,2,43,9,8994228.006149635,0.1083552086889816,0.11825226131135724,0.1313095544562664,0.011222510770315903
benchmark,benchmark,1.0,0.0,False,2,43,10,8832679.051912775,0.12469542971652925,0.11742723076681982,0.15265043480360704,0.002922004193652215
